,timestamp,wind_speed,active_power
3013,2020-11-16 05:00:00,3.03339,0.1111441077731357
19180,2023-03-26 02:00:00,3.033778612009302,0.07021700287193938
10881,2021-11-22 21:00:00,3.03405,0.08184317132540772
4842,2021-02-06 19:00:00,3.03431,0.09466627481098557
10865,2021-11-22 04:00:00,3.03527,0.07218284301729722
1644,2020-09-15 06:00:00,3.03569,0.1073356631722952
13251,2022-06-27 16:00:00,3.035725606811111,0.08315814132523627
15379,2022-10-10 00:00:00,3.037427672973077,0.04711862260458896
2487,2020-10-24 13:00:00,3.03871,0.06583159109817623
6739,2021-04-28 13:00:00,3.03924,0.1019943509228036
9726,2021-09-21 15:00:00,3.03968,0.08739833376921893
14389,2022-08-17 23:00:00,3.041066652850876,0.04594861848295441
148,2020-07-07 08:00:00,3.04135,0.09983146544435424
17321,2023-01-03 12:00:00,3.041514024731999,0.04775295875931299
13492,2022-07-09 07:00:00,3.041985292828572,0.03886505150508954
15607,2022-10-22 01:00:00,3.042605698107143,0.105415957753583
10484,2021-11-05 09:00:00,3.04304,0.08382993518773406
14068,2022-08-02 22:00:00,3.04304000735,0.06368468727657853
1086,2020-08-18 06:00:00,3.04309,0.1108230029744232
13963,2022-07-29 06:00:00,3.043636068409802,0.04291492532966779
17967,2023-01-31 02:00:00,3.043815163474999,0.05219493799257099
6466,2021-04-16 22:00:00,3.04391,0.1140658484095479
22274,2023-09-09 05:00:00,3.043970599465306,0.05954703482217668
971,2020-08-13 10:00:00,3.04564,0.1127077843480871
10713,2021-11-15 08:00:00,3.04641,0.08997854015846288
12813,2022-06-02 07:00:00,3.046924445364584,0.0622506720038168
2593,2020-10-29 09:00:00,3.04762,0.09103823542029908
20433,2023-05-22 08:00:00,3.048007787719512,0.1018414727870913
16734,2022-12-09 18:00:00,3.048082185199999,0.08965505471828066
3781,2020-12-20 06:00:00,3.04864,0.0776964875497305
2823,2020-11-08 01:00:00,3.04897,0.1091634397946228
23165,2023-11-05 09:00:00,3.048987808434782,0.06325664442516235
8552,2021-07-31 10:00:00,3.0491,0.06190024029936778
3707,2020-12-15 07:00:00,3.04945,0.1066053103900004
14621,2022-08-29 17:00:00,3.049682954948148,0.05129870519950611
9715,2021-09-21 04:00:00,3.05071,0.08918986459589913
