,energy
0,3.5074155070938247
1,2.2748080319379786
2,2.6809760726421374
3,0.06759963969975473
4,0.4848870177874253
5,3.711323414790023
6,0.032280175132342874
7,2.3665152429845753
8,0.0677029626630345
9,0.1756291238867932
10,3.6005336853613494
11,0.06759963969975473
12,3.2961340754123554
13,0.06354991255628477
14,0.33548660089491894
15,0.15634937619560768
16,1.23736175314765
17,1.3168098806023942
18,0.11311984272993285
19,3.367333714720643
20,0.10265706456637694
21,2.6293584091413065
22,1.6070723770002566
23,0.6207282067735317
24,0.21524058051984848
25,1.3947414359539323
26,0.16795634489173714
27,1.4559543928465213
28,0.5312636892635131
29,0.7637883137467503
30,1.3431717350723569
31,0.15213191485322958
32,0.7512450933570657
33,0.20119880849163851
34,0.04703154501596384
35,1.810394728641562
36,0.04928147307127439
37,0.6926212607273852
38,1.4390087504426883
39,0.7346588518426348
40,0.1959408096612985
41,0.442429081176177
42,0.3313283325930569
43,0.10402783752499639
44,1.0076886769738156
45,1.833849703226266
46,3.7609159218094486
47,0.032280175132342874
48,0.35444057784358535
49,1.0835447847106674
50,1.449907148906722
51,0.21540872273374292
52,1.235227906864691
53,0.4840799019770428
54,1.383092840620833
55,0.060397341444523946
56,1.8473102057220174
57,1.449907148906722
58,0.1607775198081327
59,2.8868721181814
60,0.13873786382994102
61,1.9778107461225343
62,0.08329912023529637
63,0.03644132310201195
64,0.33774780029112633
65,2.3665152429845753
66,0.8419413206650713
67,2.188236499842126
68,3.551596301850542
69,0.4537872914789082
70,1.6967107473346934
71,0.26633754505410734
